nombre,url,categoria
Unidad de Gestión Educativa Local Nº 05 (UGEL 05),https://www.gob.pe/ugel05,Por clasificar
Unidad de Gestión Educativa Local N° 02 (UGEL 02),https://www.gob.pe/ugel02,Por clasificar
Unidad de Gestión Educativa Local Nº 03 (UGEL Nº 03),https://www.gob.pe/ugel03,Por clasificar
Unidad de Gestión Educativa Local Nº 04 (UGEL 04),https://www.gob.pe/ugel04,Por clasificar
Unidad de Gestión Educativa Local Nº 07 (UGEL 07),https://www.gob.pe/ugel07,Por clasificar
Unidad de Gestión Educativa Local Nº 06 (UGEL 06),https://www.gob.pe/ugel06,Por clasificar
"Sistema Nacional de Evaluación, Acreditación y Certificación de la Calidad Educativa (SINEACE)",https://www.gob.pe/sineace,Por clasificar
Dirección de Gestión de Recursos Educativos (DIGERE),https://www.gob.pe/digere,Por clasificar
Proyecto Especial de Inversión Pública Escuelas Bicentenario (PEIP Escuelas Bicentenario),https://www.gob.pe/escuelasbicentenario,Por clasificar
Universidad Nacional Autónoma de Bellas Artes del Perú (UNABAP),https://www.gob.pe/unabap,Por clasificar
Escuela Nacional Superior de Ballet (ENSB),https://www.gob.pe/ensb,Por clasificar
Unidad Ejecutora 118: Mejoramiento de la Calidad de la Educación Básica y Superior (UE118),https://www.gob.pe/ue118,Por clasificar
Unidad Ejecutora 304 Educación Pachitea (UGEL Pachitea),https://www.gob.pe/unidad-ejecutora-304-educacion-pachitea-ugel-pachitea,Por clasificar
Unidad de Gestión Educativa Local Huamalíes (UGEL Huamalíes),https://www.gob.pe/ugelhuamalies,Por clasificar
Unidad Ejecutora 309 Educación UGEL Sucre (UGEL Sucre),https://www.gob.pe/ugelsucre,Por clasificar
Consejo Nacional de Educación (CNE),https://www.gob.pe/cne,Por clasificar
Fondo Nacional de Desarrollo de la Educación Peruana (FONDEP),https://www.gob.pe/fondep,Por clasificar
Programa Nacional de Alfabetización (PNA),https://www.gob.pe/programa-nacional-de-alfabetizacion,Por clasificar
Programa Nacional de Becas y Crédito Educativo (PRONABEC),https://www.gob.pe/pronabec,Por clasificar
Programa Nacional de Infraestructura Educativa (PRONIED),https://www.gob.pe/pronied,Por clasificar
Unidad de Gestión Educativa Local - Huancayo,https://www.gob.pe/unidad-de-gestion-educativa-local-huancayo,Por clasificar
Unidad de Gestión Educativa Local Azángaro,https://www.gob.pe/unidad-de-gestion-educativa-local-azangaro,Por clasificar
Unidad de Gestión Educativa Local de Moho,https://www.gob.pe/unidad-de-gestion-educativa-local-de-moho,Por clasificar
Unidad de Gestión Educativa Local General Sánchez Cerro (UGEL Gral. SC),https://www.gob.pe/ugel-general-sanchez-cerro,Por clasificar
Unidad de Gestión Educativa Local San Pablo (UGEL San Pablo),https://www.gob.pe/ugelsanpablo,Por clasificar
Unidad de Gestión Educativa Local Tarma (UGEL Tarma),https://www.gob.pe/ugeltarma,Por clasificar
Unidad de Gestión Educativa Local Bolívar (UGEL   Bolívar),https://www.gob.pe/unidad-de-gestion-educativa-local-bolivar-ugel-bolivar,Por clasificar
Unidad de Gestión Educativa Local Casma (UGEL Casma),https://www.gob.pe/ugelcasma,Por clasificar
Unidad de Gestión Educativa Local Cutervo (UGEL Cutervo),https://www.gob.pe/ugelcutervo,Por clasificar
Unidad de Gestión Educativa Local la Mar (UGEL La Mar VRAE),https://www.gob.pe/ugellamar-vrae,Por clasificar
Unidad de Gestión Educativa Local Mariscal Cáceres - Juanjui (UGEL MCJ),https://www.gob.pe/ugelmariscalcaceres,Por clasificar
